// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 00B44081
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U
12132	6.628204	-0.642417	7.109361	0.024553	0.001901	-0.071630	-0.007909	0.018300	-0.001143	-0.324707	-0.197998	-0.880127	0.885134	0.079337	-0.357752	0.286805	NaN	NaN	NaN	NaN	NaN	NaN
12133	6.637456	-0.610498	7.175297	-0.026076	0.011352	-0.019189	-0.016582	0.017554	-0.009605	-0.322510	-0.200195	-0.873779	0.885190	0.079222	-0.357703	0.286725	NaN	NaN	NaN	NaN	NaN	NaN
12134	6.700007	-0.623082	7.218210	-0.007114	0.015577	0.055473	-0.005783	0.012813	-0.013641	-0.320068	-0.204590	-0.875732	0.885238	0.079172	-0.357660	0.286646	NaN	NaN	NaN	NaN	NaN	NaN
12135	6.654205	-0.621101	7.188475	-0.016830	0.006719	0.002508	-0.005353	-0.004085	-0.022781	-0.322510	-0.200195	-0.873779	0.885268	0.079167	-0.357683	0.286524	NaN	NaN	NaN	NaN	NaN	NaN
12136	6.573991	-0.585521	7.192920	-0.086399	-0.002348	-0.050986	-0.009196	-0.006911	-0.018325	-0.322510	-0.195557	-0.878174	0.885289	0.079138	-0.357730	0.286410	NaN	NaN	NaN	NaN	NaN	NaN
12137	6.544211	-0.705122	7.174269	-0.026338	-0.107568	-0.077094	-0.013876	-0.005832	0.000072	-0.324707	-0.200195	-0.875977	0.885287	0.079049	-0.357787	0.286368	NaN	NaN	NaN	NaN	NaN	NaN
12138	6.585839	-0.696303	7.171225	-0.007030	-0.079699	-0.051633	-0.012488	-0.011140	0.004772	-0.322266	-0.204590	-0.880127	0.885268	0.078970	-0.357866	0.286349	NaN	NaN	NaN	NaN	NaN	NaN
12139	6.663799	-0.710319	7.191764	0.031889	-0.062643	0.017231	-0.013082	-0.016678	0.003057	-0.320313	-0.195557	-0.880371	0.885242	0.078903	-0.357968	0.286322	NaN	NaN	NaN	NaN	NaN	NaN
12140	6.693349	-0.656976	7.149670	0.041440	0.008917	0.003041	-0.010955	-0.022160	-0.009443	-0.317871	-0.200195	-0.875977	0.885223	0.078872	-0.358088	0.286238	NaN	NaN	NaN	NaN	NaN	NaN
12141	6.659823	-0.623655	7.183049	-0.018586	0.009214	0.002503	-0.012409	-0.020692	-0.008619	-0.322754	-0.193359	-0.878174	0.885210	0.078825	-0.358200	0.286152	NaN	NaN	NaN	NaN	NaN	NaN
12142	6.619475	-0.644985	7.125167	0.001716	-0.006886	-0.065821	-0.021146	-0.020814	-0.008929	-0.324951	-0.193359	-0.878174	0.885197	0.078747	-0.358328	0.286053	NaN	NaN	NaN	NaN	NaN	NaN
